side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
short,2025-04-10 06:00:00+00:00,2025-04-10 15:00:00+00:00,1615.54,1558.9960999999998,0.0362694300518136,-0.001450269430051776,0.034819160621761824,348.19160621761824,TP,10000.0,10348.191606217619,10000.0,14.50269430051776,0.0,0
long,2025-05-15 20:00:00+00:00,2025-05-16 11:00:00+00:00,2535.83,2620.0,0.033192288126570046,-0.001445962939156109,0.03174632518741394,328.51705583265186,TRAIL_RSI,10348.191606217619,10676.70866205027,10348.191606217619,14.963101549877006,0.0,3
long,2025-05-17 14:00:00+00:00,2025-05-17 22:00:00+00:00,2481.42,2462.80935,-0.007500000000000062,-0.0013890136749999948,-0.008889013675000057,-94.90540930095642,SL,10676.70866205027,10581.803252749314,10676.70866205027,14.830094335578725,0.0,3
long,2025-05-24 04:00:00+00:00,2025-05-24 22:00:00+00:00,2558.2,2539.0135,-0.007499999999999951,-0.0013890136749999948,-0.008889013674999946,-94.06179381984757,SL,10581.803252749314,10487.741458929466,10581.803252749314,14.698269424228224,0.0,3
long,2025-05-30 10:00:00+00:00,2025-05-30 13:00:00+00:00,2621.3,2608.1935000000003,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-67.04301784858833,SL,10487.741458929466,10420.698441080878,10487.741458929466,14.604310553940966,0.0,4
short,2025-06-24 11:00:00+00:00,2025-06-24 13:00:00+00:00,2408.3,2420.3415,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-66.35558595092726,SL,10420.698441080878,10354.342855129951,10420.698441080878,14.511315099778853,0.0,6
long,2025-07-04 22:00:00+00:00,2025-07-05 16:00:00+00:00,2519.16,2506.5642,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-66.19026561298732,SL,10354.342855129951,10288.152589516963,10354.342855129951,14.418551337337517,0.0,6
long,2025-07-22 20:00:00+00:00,2025-07-23 09:00:00+00:00,3706.98,3669.9102,-0.010000000000000009,-0.001385514900000051,-0.01138551490000006,-117.13591460141959,SL,10288.152589516963,10171.016674915543,10288.152589516963,14.254388706249863,0.0,8
long,2025-07-23 22:00:00+00:00,2025-07-24 05:00:00+00:00,3609.77,3573.6722999999997,-0.01000000000000012,-0.001385514900000051,-0.011385514900000171,-115.8022619004011,SL,10171.016674915543,10055.214413015143,10171.016674915543,14.092095151244461,0.0,8
long,2025-07-24 07:00:00+00:00,2025-07-24 14:00:00+00:00,3589.94,3733.5376,0.040000000000000036,-0.0014554904000001478,0.03854450959999989,387.5733084725194,TP,10055.214413015143,10442.787721487663,10055.214413015143,14.635268048086662,0.0,8
long,2025-08-16 00:00:00+00:00,2025-08-16 02:00:00+00:00,4474.24,4451.8688,-0.004999999999999893,-0.0013925124500000496,-0.006392512449999943,-66.75565052231642,SL,10442.787721487663,10376.032070965346,10442.787721487663,14.54171191487922,0.0,9
long,2025-08-16 04:00:00+00:00,2025-08-16 05:00:00+00:00,4452.21,4429.94895,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-66.32891419524582,SL,10376.032070965346,10309.7031567701,10376.032070965346,14.448753840419043,0.0,9
long,2025-08-16 12:00:00+00:00,2025-08-17 11:00:00+00:00,4408.0,4549.58,0.032118874773139794,-0.0014444606864338905,0.030674414086705903,316.24410374178507,TRAIL_RSI,10309.7031567701,10625.947260511884,10309.7031567701,14.891960898757786,0.0,9
long,2025-09-15 01:00:00+00:00,2025-09-15 08:00:00+00:00,4616.23,4581.608275,-0.007499999999999951,-0.0013890136749999948,-0.008889013674999946,-94.45419050851835,SL,10625.947260511884,10531.493070003366,10625.947260511884,14.75958605467974,0.0,11
short,2025-09-27 13:00:00+00:00,2025-09-28 13:00:00+00:00,4018.41,4011.74,0.001662620209684551,-0.001401836853609728,0.00026078335607482295,2.746438107274218,TRAIL_RSI,10531.493070003366,10534.23950811064,10531.493070003366,14.763435109066174,0.0,12
short,2025-09-29 06:00:00+00:00,2025-09-29 13:00:00+00:00,4095.37,4136.3237,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-118.89620654960684,SL,10534.23950811064,10415.343301561034,10534.23950811064,14.596805479204376,0.0,12
long,2025-10-08 08:00:00+00:00,2025-10-09 02:00:00+00:00,4473.13,4428.3987,-0.01000000000000012,-0.001385514900000051,-0.011385514900000171,-118.58404634854013,SL,10415.343301561034,10296.759255212493,10415.343301561034,14.430613332928537,0.0,13
short,2025-10-13 05:00:00+00:00,2025-10-13 07:00:00+00:00,4129.99,4171.2899,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-116.21585158157222,SL,10296.759255212493,10180.543403630922,10296.759255212493,14.267740143824675,0.0,13
short,2025-10-13 08:00:00+00:00,2025-10-13 17:00:00+00:00,4173.51,4215.2451,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-114.90416468824287,SL,10180.543403630922,10065.639238942678,10180.543403630922,14.106705246352465,0.0,13
short,2025-11-08 11:00:00+00:00,2025-11-09 12:00:00+00:00,3411.53,3428.58765,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-64.09468553831488,SL,10065.639238942678,10001.544553404363,10065.639238942678,14.016878379396312,0.0,15
short,2025-11-23 14:00:00+00:00,2025-11-23 15:00:00+00:00,2813.55,2827.61775,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-63.686551626821924,SL,10001.544553404363,9937.85800177754,10001.544553404363,13.927623500433395,0.0,16
short,2025-11-23 16:00:00+00:00,2025-11-23 19:00:00+00:00,2798.65,2812.6432499999996,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-63.281016578064346,SL,9937.85800177754,9874.576985199476,9937.85800177754,13.838936967232142,0.0,16
short,2025-11-23 23:00:00+00:00,2025-11-24 02:00:00+00:00,2800.73,2814.7336499999997,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-62.8780638433365,SL,9874.576985199476,9811.69892135614,9874.576985199476,13.750815160753364,0.0,16
short,2025-11-24 04:00:00+00:00,2025-11-24 05:00:00+00:00,2823.71,2837.8285499999997,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-62.477676979310566,SL,9811.69892135614,9749.22124437683,9811.69892135614,13.663254485002726,0.0,16
short,2025-11-24 06:00:00+00:00,2025-11-24 16:00:00+00:00,2837.81,2851.9990499999994,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-62.07983964736444,SL,9749.22124437683,9687.141404729466,9749.22124437683,13.576251366884001,0.0,16
long,2025-11-29 20:00:00+00:00,2025-11-30 14:00:00+00:00,2996.21,3036.65,0.013497051274777183,-0.001418399258229508,0.012078652016547675,117.00761006281805,TRAIL_RSI,9687.141404729466,9804.149014792283,9687.141404729466,13.740234182832628,0.0,17
short,2026-01-11 22:00:00+00:00,2026-01-12 02:00:00+00:00,3108.26,3123.8013,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-62.42960165338682,SL,9804.149014792283,9741.719413138897,9804.149014792283,13.652740883276175,0.0,20
short,2026-01-27 06:00:00+00:00,2026-01-27 16:00:00+00:00,2928.08,2942.7203999999997,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-62.032070449330234,SL,9741.719413138897,9679.687342689567,9741.719413138897,13.565804712321018,0.0,21
short,2026-02-07 06:00:00+00:00,2026-02-07 17:00:00+00:00,2046.54,2056.7726999999995,-0.004975124378109208,-0.0013925472636816538,-0.006367671641790862,-61.6370705934463,SL,9679.687342689567,9618.050272096121,9679.687342689567,13.479422122356295,0.0,22
short,2026-02-08 03:00:00+00:00,2026-02-08 08:00:00+00:00,2077.86,2088.2493,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-61.244585966946424,SL,9618.050272096121,9556.805686129175,9618.050272096121,13.39358958836004,0.0,22
long,2026-03-14 18:00:00+00:00,2026-03-15 07:00:00+00:00,2075.73,2104.97,0.014086610493657448,-0.0014192243522519465,0.012667386141405501,121.059747904578,TRAIL_RSI,9556.805686129175,9677.865434033753,9556.805686129175,13.563251359494398,0.0,24
long,2026-03-19 02:00:00+00:00,2026-03-19 06:00:00+00:00,2195.59,2184.61205,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-61.86587527648594,SL,9677.865434033753,9615.999558757267,9677.865434033753,13.476548106317134,0.0,25
short,2026-03-30 17:00:00+00:00,2026-03-30 23:00:00+00:00,2040.67,2025.69,0.00739501108264351,-0.0014098593919602553,0.005985151690683255,57.553216016705484,FORCE_EXIT_END,9615.999558757267,9673.552774773972,9615.999558757267,13.557207290999603,0.0,25
