window_id,live_start,live_end,best_tp,best_sl,best_trail,best_ema_len,opt_score,live_return_pct,live_final_cap,n_trades_live
0,2025-04-01 00:00:00+00:00,2025-04-14 23:45:00+00:00,0.035,0.005,3.0,50,-11.093656888774692,-0.3956468145913772,9960.435318540862,2
1,2025-04-15 00:00:00+00:00,2025-04-28 23:45:00+00:00,0.035,0.005,3.0,50,-12.346185129911863,-1.271947867154355,9833.743773947392,2
2,2025-04-29 00:00:00+00:00,2025-05-12 23:45:00+00:00,0.035,0.005,3.0,50,-14.058429728828603,-0.6367671641790973,9771.125722585388,1
3,2025-05-13 00:00:00+00:00,2025-05-26 23:45:00+00:00,0.05,0.0075,3.0,200,-15.468286025187753,-3.1402830460596665,9464.284718109864,6
4,2025-05-27 00:00:00+00:00,2025-06-09 23:45:00+00:00,0.035,0.005,3.0,100,-15.032570036662515,-1.3475466200811415,9336.749069276118,4
5,2025-06-10 00:00:00+00:00,2025-06-23 23:45:00+00:00,0.035,0.005,3.0,200,-8.128347417977023,0.29881982889612413,9364.64912686939,13
6,2025-06-24 00:00:00+00:00,2025-07-07 23:45:00+00:00,0.035,0.005,3.0,200,4.326367018414426,-2.8507427378018146,9097.68707196454,9
7,2025-07-08 00:00:00+00:00,2025-07-21 23:45:00+00:00,0.035,0.01,5.0,100,-9.333791675021134,0.0,9097.68707196454,0
8,2025-07-22 00:00:00+00:00,2025-08-04 23:45:00+00:00,0.035,0.01,5.0,150,6.059227906489958,-0.794561905153468,9025.400316240637,4
9,2025-08-05 00:00:00+00:00,2025-08-18 23:45:00+00:00,0.035,0.01,6.0,100,5.951697741372705,-0.44928363519058934,8984.850669609328,3
10,2025-08-19 00:00:00+00:00,2025-09-01 23:45:00+00:00,0.035,0.01,3.0,150,7.415069172441216,-0.5042014758594004,8939.548919929395,5
11,2025-09-02 00:00:00+00:00,2025-09-15 23:45:00+00:00,0.035,0.01,6.0,100,4.785117178501316,0.5566277200045322,8989.308927261089,3
12,2025-09-16 00:00:00+00:00,2025-09-29 23:45:00+00:00,0.035,0.01,6.0,100,4.633906946167322,1.77750980535476,9149.094774876785,4
13,2025-09-30 00:00:00+00:00,2025-10-13 23:45:00+00:00,0.035,0.01,6.0,100,8.123137840764027,-0.5907268396655674,9095.048616455148,4
14,2025-10-14 00:00:00+00:00,2025-10-27 23:45:00+00:00,0.035,0.01,6.0,100,8.780943375015575,-2.3551729124933307,8880.844495062296,4
15,2025-10-28 00:00:00+00:00,2025-11-10 23:45:00+00:00,0.035,0.0075,3.0,50,6.449144303926145,-0.5798410062134107,8829.349716981878,2
16,2025-11-11 00:00:00+00:00,2025-11-24 23:45:00+00:00,0.035,0.005,6.0,150,8.746533631073966,-2.522843423635479,8606.599048297223,4
17,2025-11-25 00:00:00+00:00,2025-12-08 23:45:00+00:00,0.035,0.005,6.0,150,5.5973842584555555,0.10558575472063847,8615.686390858147,10
18,2025-12-09 00:00:00+00:00,2025-12-22 23:45:00+00:00,0.035,0.005,6.0,150,5.096161187065898,-0.25452267183820876,8593.757515658934,3
19,2025-12-23 00:00:00+00:00,2026-01-05 23:45:00+00:00,0.035,0.005,6.0,150,3.049450937535659,1.1789510868774444,8695.073713293406,3
20,2026-01-06 00:00:00+00:00,2026-01-19 23:45:00+00:00,0.035,0.0075,6.0,150,6.435270505552018,0.8116334278890358,8765.645838130089,6
21,2026-01-20 00:00:00+00:00,2026-02-02 23:45:00+00:00,0.035,0.0075,6.0,150,12.11149674590067,-3.6550824071173715,8445.25425923038,8
22,2026-02-03 00:00:00+00:00,2026-02-16 23:45:00+00:00,0.035,0.0075,6.0,200,6.72744219291189,-1.4817687592879936,8320.115119974666,7
23,2026-02-17 00:00:00+00:00,2026-03-02 23:45:00+00:00,0.035,0.005,3.0,100,3.952301215656477,-1.9905256021415352,8154.501098383921,4
24,2026-03-03 00:00:00+00:00,2026-03-16 23:45:00+00:00,0.035,0.0075,3.0,200,3.5120660649488964,-3.876570574185567,7838.386108332331,6
25,2026-03-17 00:00:00+00:00,2026-03-30 23:45:00+00:00,0.035,0.005,3.0,100,-9.438299160309455,-0.0556721410459482,7834.022310962374,4
